Ranking,UserID,PageValue,OutDegree,InDegree
1,5038,1.140e-02,1383,1383
2,273,3.228e-03,1367,1367
3,140,3.008e-03,1245,1245
4,458,2.957e-03,1261,1261
5,588,2.930e-03,829,829
6,566,2.900e-03,924,924
7,1028,2.779e-03,1244,1244
8,1139,2.548e-03,1068,1068
9,370,2.340e-03,1099,1099
10,893,2.178e-03,591,591
11,195,2.087e-03,1143,1143
12,823,1.996e-03,908,908
13,136,1.872e-03,1026,1026
14,95,1.694e-03,597,597
15,286,1.690e-03,711,711
16,76,1.520e-03,815,815
17,292,1.514e-03,834,834
18,543,1.506e-03,521,521
19,1768,1.501e-03,449,449
20,5030,1.498e-03,389,389
21,647,1.476e-03,539,539
22,353,1.462e-03,705,705
23,416,1.449e-03,791,791
24,5069,1.401e-03,186,186
25,734,1.390e-03,686,686
26,851,1.387e-03,666,666
27,5022,1.332e-03,181,181
28,155,1.250e-03,497,497
29,478,1.188e-03,607,607
30,530,1.141e-03,486,486
31,1824,1.131e-03,609,609
32,343,1.127e-03,537,537
33,613,1.103e-03,386,386
34,516,1.098e-03,552,552
35,887,1.040e-03,310,310
36,443,1.031e-03,505,505
37,213,1.020e-03,514,514
38,127,1.016e-03,481,481
39,2630,1.011e-03,343,343
40,652,1.011e-03,538,538
41,444,1.005e-03,542,542
42,5033,9.913e-04,163,163
43,4746,9.821e-04,383,383
44,4063,9.809e-04,479,479
45,520,9.771e-04,540,540
46,90,9.767e-04,366,366
47,1672,9.593e-04,424,424
48,3311,9.372e-04,423,423
49,8344,9.164e-04,100,100
50,308,9.157e-04,421,421
51,128,8.985e-04,264,264
52,93,8.981e-04,455,455
53,114,8.919e-04,285,285
54,80,8.896e-04,271,271
55,106,8.853e-04,422,422
56,3237,8.584e-04,397,397
57,342,8.469e-04,344,344
58,1528,8.300e-04,365,365
59,1031,8.286e-04,417,417
60,915,8.285e-04,446,446
61,554,8.145e-04,310,310
62,2753,8.062e-04,332,332
63,1806,8.005e-04,163,163
64,878,7.841e-04,297,297
65,1819,7.841e-04,262,262
66,1569,7.766e-04,142,142
67,175,7.681e-04,496,496
68,2718,7.665e-04,207,207
69,1817,7.628e-04,278,278
70,225,7.547e-04,339,339
71,188,7.469e-04,468,468
72,232,7.440e-04,399,399
73,78,7.353e-04,339,339
74,802,7.341e-04,405,405
75,1507,7.297e-04,307,307
76,5237,7.294e-04,363,363
77,939,7.265e-04,386,386
78,1588,7.219e-04,217,217
79,3161,7.184e-04,405,405
80,241,7.181e-04,459,459
81,639,7.132e-04,463,463
82,72,7.080e-04,377,377
83,2215,7.026e-04,308,308
84,82,6.972e-04,212,212
85,56,6.964e-04,309,309
86,102,6.948e-04,203,203
87,1330,6.861e-04,243,243
88,184,6.841e-04,277,277
89,200,6.725e-04,181,181
90,1334,6.643e-04,314,314
91,1233,6.611e-04,377,377
92,1053,6.532e-04,209,209
93,1371,6.512e-04,343,343
94,147,6.509e-04,212,212
95,274,6.321e-04,338,338
96,301,6.289e-04,244,244
97,929,6.278e-04,295,295
98,134,6.255e-04,396,396
99,1443,6.247e-04,330,330
100,4755,6.168e-04,365,365
101,314,6.072e-04,322,322
102,109,6.068e-04,339,339
103,74,6.033e-04,293,293
104,2323,5.983e-04,286,286
105,383,5.974e-04,361,361
106,360,5.910e-04,223,223
107,2737,5.865e-04,171,171
108,1821,5.815e-04,280,280
109,7954,5.759e-04,213,213
110,1161,5.702e-04,243,243
111,2939,5.683e-04,228,228
112,1046,5.673e-04,298,298
113,1725,5.630e-04,218,218
114,1304,5.588e-04,263,263
115,423,5.540e-04,364,364
116,686,5.520e-04,221,221
117,5036,5.424e-04,141,141
118,2666,5.414e-04,140,140
119,1935,5.387e-04,310,310
120,151,5.266e-04,170,170
121,107,5.257e-04,234,234
122,4153,5.250e-04,160,160
123,89,5.215e-04,247,247
124,20764,5.146e-04,73,73
125,1061,5.085e-04,327,327
126,91,5.073e-04,172,172
127,2253,5.067e-04,217,217
128,1202,5.051e-04,246,246
129,815,5.027e-04,306,306
130,581,5.022e-04,299,299
131,9129,5.010e-04,70,70
132,920,5.002e-04,214,214
133,585,4.923e-04,308,308
134,2348,4.839e-04,98,98
135,659,4.756e-04,244,244
136,255,4.754e-04,296,296
137,4398,4.750e-04,190,190
138,448,4.742e-04,305,305
139,526,4.726e-04,292,292
140,481,4.686e-04,304,304
141,4152,4.678e-04,169,169
142,88,4.674e-04,284,284
143,367,4.663e-04,280,280
144,471,4.661e-04,297,297
145,403,4.659e-04,300,300
146,265,4.649e-04,302,302
147,33806,4.643e-04,50,50
148,215,4.588e-04,282,282
149,400,4.580e-04,312,312
150,3174,4.533e-04,207,207
151,9137,4.488e-04,72,72
152,6917,4.475e-04,235,235
153,2947,4.443e-04,263,263
154,528,4.419e-04,279,279
155,2637,4.413e-04,258,258
156,1365,4.413e-04,159,159
157,452,4.378e-04,281,281
158,925,4.370e-04,263,263
159,1095,4.321e-04,275,275
160,694,4.311e-04,275,275
161,299,4.300e-04,283,283
162,539,4.281e-04,249,249
163,3215,4.249e-04,258,258
164,233,4.179e-04,261,261
165,316,4.178e-04,190,190
166,592,4.136e-04,257,257
167,75,4.134e-04,232,232
168,1793,4.091e-04,147,147
169,133,4.080e-04,151,151
170,4880,4.066e-04,125,125
171,1927,4.060e-04,197,197
172,385,4.041e-04,178,178
