Ranking,UserID,OutDegree,InDegree
1,5038,1383,1383
2,273,1367,1367
3,458,1261,1261
4,140,1245,1245
5,1028,1244,1244
6,195,1143,1143
7,1139,1068,1068
8,370,1099,1099
9,136,1026,1026
10,566,924,924
11,823,908,908
12,588,829,829
13,292,834,834
14,286,711,711
15,416,791,791
16,76,815,815
17,353,705,705
18,1824,609,609
19,851,666,666
20,893,591,591
21,95,597,597
22,647,539,539
23,734,686,686
24,543,521,521
25,443,505,505
26,343,537,537
27,1768,449,449
28,478,607,607
29,127,481,481
30,652,538,538
31,5030,389,389
32,213,514,514
33,516,552,552
34,4746,383,383
35,3311,423,423
36,155,497,497
37,530,486,486
38,939,386,386
39,4063,479,479
40,2630,343,343
41,915,446,446
42,4755,365,365
43,342,344,344
44,308,421,421
45,887,310,310
46,2215,308,308
47,5237,363,363
48,90,366,366
49,3237,397,397
50,613,386,386
51,93,455,455
52,444,542,542
53,1334,314,314
54,114,285,285
55,1672,424,424
56,2753,332,332
57,1031,417,417
58,109,339,339
59,520,540,540
60,128,264,264
61,225,339,339
62,1819,262,262
63,1817,278,278
64,106,422,422
65,3161,405,405
66,1528,365,365
67,1371,343,343
68,2323,286,286
69,1507,307,307
70,878,297,297
71,80,271,271
72,175,496,496
73,5069,186,186
74,554,310,310
75,5022,181,181
76,1821,280,280
77,241,459,459
78,1161,243,243
79,1443,330,330
80,929,295,295
81,639,463,463
82,1304,263,263
83,2718,207,207
84,383,361,361
85,1233,377,377
86,232,399,399
87,6917,235,235
88,82,212,212
89,72,377,377
90,5033,163,163
91,1330,243,243
92,301,244,244
93,1046,298,298
94,1806,163,163
95,2253,217,217
96,2939,228,228
97,3174,207,207
98,184,277,277
99,367,280,280
100,274,338,338
101,7954,213,213
102,1588,217,217
103,1053,209,209
104,188,468,468
105,56,309,309
106,802,405,405
107,147,212,212
108,200,181,181
109,1569,142,142
110,78,339,339
111,360,223,223
112,4153,160,160
113,1899,225,225
114,1725,218,218
115,5036,141,141
116,1202,246,246
117,314,322,322
118,3215,258,258
119,102,203,203
120,984,130,130
121,1927,197,197
122,2737,171,171
123,4398,190,190
124,2637,258,258
125,89,247,247
126,4152,169,169
127,2666,140,140
128,134,396,396
129,107,234,234
130,694,275,275
131,8344,100,100
132,686,221,221
133,581,299,299
134,151,170,170
135,716,234,234
136,659,244,244
137,815,306,306
138,471,297,297
139,2947,263,263
140,74,293,293
141,16201,96,96
142,4880,125,125
143,3027,168,168
144,3844,139,139
145,1793,147,147
146,91,172,172
147,255,296,296
148,1935,310,310
149,528,279,279
150,920,214,214
151,9504,93,93
152,438,178,178
153,3354,181,181
154,2348,98,98
155,26576,84,84
156,2111,174,174
157,1061,327,327
158,481,304,304
159,299,283,283
160,4232,99,99
161,950,106,106
162,1365,159,159
163,284,135,135
164,11812,92,92
165,2773,168,168
166,6893,150,150
167,880,135,135
168,448,305,305
169,592,257,257
170,5020,87,87
171,4618,206,206
172,487,221,221
173,4093,92,92
174,215,282,282
175,16202,83,83
176,1084,230,230
177,5053,129,129
178,2015,119,119
179,385,178,178
180,585,308,308
181,442,233,233
182,2736,178,178
183,9137,72,72
184,88,284,284
185,948,169,169
186,20764,73,73
187,1095,275,275
188,4747,123,123
189,4183,130,130
190,560,167,167
191,700,231,231
192,925,263,263
193,1108,125,125
194,960,143,143
195,9129,70,70
196,1137,226,226
197,133,151,151
198,593,186,186
199,240,227,227
200,20805,74,74
201,402,172,172
202,666,180,180
203,1138,219,219
204,2510,158,158
205,1470,137,137
206,1168,147,147
207,25323,62,62
208,822,190,190
209,403,300,300
210,910,125,125
211,400,312,312
212,316,190,190
213,526,292,292
214,233,261,261
215,3258,66,66
216,8556,72,72
217,15198,62,62
218,5410,149,149
219,6405,73,73
220,1122,147,147
221,1077,243,243
222,1111,157,157
223,23364,102,102
224,3486,74,74
225,969,73,73
226,1076,253,253
227,391,131,131
228,876,132,132
229,26584,62,62
230,4737,175,175
231,1050,220,220
232,1478,228,228
233,8315,62,62
234,924,240,240
235,277,136,136
236,3295,68,68
237,454,227,227
238,1,70,70
239,1118,178,178
240,406,145,145
241,7428,77,77
242,723,230,230
243,26854,58,58
244,4027,145,145
245,4154,124,124
246,146,239,239
247,922,136,136
248,33806,50,50
249,2254,68,68
250,551,219,219
251,1213,218,218
252,5434,136,136
253,423,364,364
254,21580,54,54
255,300,253,253
256,919,118,118
257,24811,53,53
258,386,164,164
259,3966,70,70
260,2052,121,121
261,621,145,145
262,8557,50,50
263,875,133,133
264,452,281,281
265,19467,46,46
266,498,165,165
267,265,302,302
268,4735,165,165
269,620,145,145
270,6125,68,68
271,192,190,190
272,861,104,104
273,539,249,249
274,335,168,168
275,16625,45,45
276,79,119,119
277,10281,78,78
278,780,227,227
279,1813,119,119
280,243,243,243
281,490,223,223
282,470,228,228
283,736,121,121
284,3251,52,52
285,1000,65,65
286,4681,184,184
287,35675,43,43
288,5384,142,142
289,2088,94,94
290,575,217,217
291,1097,112,112
292,172,187,187
293,12800,76,76
294,1401,118,118
295,804,219,219
296,9135,49,49
297,6231,62,62
298,5051,52,52
299,480,270,270
300,1180,178,178
301,14862,54,54
302,1320,147,147
303,7991,111,111
304,967,54,54
305,5536,139,139
306,101,86,86
307,2601,167,167
308,2296,65,65
309,8668,53,53
310,81,120,120
311,696,55,55
312,678,212,212
313,393,157,157
314,326,192,192
315,22463,81,81
316,6289,66,66
317,2610,115,115
318,2568,144,144
319,86,125,125
320,8558,47,47
321,672,211,211
322,533,143,143
323,2720,100,100
324,6831,46,46
325,1252,123,123
326,928,74,74
327,1559,167,167
328,596,215,215
329,5225,44,44
330,2081,156,156
331,22587,47,47
332,473,232,232
333,958,75,75
334,3267,47,47
335,267,76,76
336,5050,45,45
337,5614,119,119
338,449,174,174
339,4227,82,82
340,1637,115,115
341,26897,43,43
342,1359,58,58
343,4876,44,44
344,75,232,232
345,27475,40,40
346,14835,107,107
347,24743,46,46
348,3766,43,43
349,1112,64,64
350,9358,39,39
351,171,149,149
352,14893,36,36
353,4132,86,86
354,13424,52,52
355,1970,46,46
356,409,141,141
357,1104,158,158
358,8032,41,41
359,3296,47,47
360,1027,165,165
361,531,89,89
362,1430,144,144
363,1771,185,185
364,1560,119,119
365,5943,87,87
366,1185,183,183
367,8326,47,47
368,913,204,204
369,5203,133,133
370,1308,149,149
371,1737,173,173
372,477,163,163
373,18778,38,38
374,441,172,172
375,3742,146,146
376,26811,35,35
377,504,177,177
378,1527,92,92
379,2051,105,105
380,5194,63,63
381,165,166,166
382,2728,77,77
383,2953,137,137
384,879,101,101
385,3604,144,144
386,4197,85,85
387,525,214,214
388,5042,41,41
389,3323,49,49
390,336,205,205
391,676,258,258
392,3133,109,109
393,2061,89,89
394,13640,38,38
395,1216,205,205
396,675,128,128
397,1056,104,104
398,1767,144,144
399,7401,54,54
400,4124,97,97
401,1833,74,74
402,5027,35,35
403,4262,32,32
404,2916,114,114
405,7028,103,103
406,1071,162,162
407,1049,172,172
408,6828,36,36
409,6084,38,38
410,2186,30,30
411,745,115,115
412,4645,38,38
413,390,35,35
414,1193,170,170
415,9500,35,35
416,20157,32,32
417,9861,33,33
418,1459,121,121
419,499,269,269
420,3309,39,39
421,9044,35,35
422,116,229,229
423,3679,55,55
424,1016,52,52
425,46,112,112
426,145,133,133
427,22118,34,34
428,3352,36,36
429,1422,82,82
430,7986,87,87
431,2550,91,91
432,8566,40,40
433,2715,59,59
434,1340,180,180
435,10893,37,37
436,404,207,207
437,26007,37,37
438,940,81,81
439,462,180,180
440,707,132,132
441,13414,42,42
442,7523,55,55
443,5259,123,123
444,1030,143,143
445,14841,84,84
446,842,132,132
447,884,162,162
448,5052,56,56
449,263,135,135
450,549,210,210
451,2047,75,75
452,719,115,115
453,3208,80,80
454,2472,76,76
455,1652,103,103
456,773,100,100
457,1763,79,79
458,2651,120,120
459,27728,29,29
460,5029,29,29
461,5766,63,63
462,144,146,146
463,889,191,191
464,4524,140,140
465,824,138,138
466,54,102,102
467,10815,39,39
468,426,160,160
469,26911,32,32
470,5830,32,32
471,1198,126,126
472,5075,105,105
473,1057,103,103
474,2740,162,162
475,977,46,46
476,3776,93,93
477,27809,27,27
478,10959,64,64
479,16151,28,28
480,8340,39,39
481,355,216,216
482,13427,29,29
483,714,174,174
484,4677,90,90
485,3318,65,65
486,5141,41,41
487,17098,41,41
488,2264,91,91
489,13633,38,38
490,16210,32,32
491,2977,130,130
492,205,127,127
493,603,105,105
494,25325,33,33
495,8560,37,37
496,5217,138,138
497,794,155,155
498,4480,78,78
499,2502,56,56
500,4676,112,112
501,2635,76,76
502,4858,48,48
503,19815,27,27
504,5557,26,26
505,564,181,181
506,3361,35,35
507,692,184,184
508,1059,61,61
509,25158,25,25
510,425,162,162
511,4904,30,30
512,918,121,121
513,20231,26,26
514,614,133,133
515,563,147,147
516,595,112,112
517,521,81,81
518,1934,83,83
519,513,81,81
520,8669,37,37
521,15247,32,32
522,5220,118,118
523,73,127,127
524,83,201,201
525,13744,25,25
526,2066,78,78
527,11191,87,87
528,279,74,74
529,13634,24,24
530,2615,89,89
531,2612,92,92
532,3465,35,35
533,1051,84,84
534,2271,66,66
535,7531,52,52
536,457,96,96
537,985,35,35
538,12110,37,37
539,31487,26,26
540,5070,26,26
541,8031,41,41
542,645,146,146
543,12350,46,46
544,13635,26,26
545,4166,102,102
546,579,90,90
547,2256,56,56
548,1026,198,198
549,3138,67,67
550,751,73,73
551,11353,34,34
552,3080,66,66
553,16459,39,39
554,22423,28,28
555,1087,126,126
556,4739,87,87
557,787,162,162
558,6998,84,84
559,239,99,99
560,971,40,40
561,8071,69,69
562,2669,122,122
563,430,181,181
564,26021,35,35
565,5729,59,59
566,19823,23,23
567,1428,92,92
568,419,48,48
569,4884,54,54
570,13421,27,27
571,16978,33,33
572,492,168,168
573,53,111,111
574,368,138,138
575,14446,27,27
576,10015,69,69
577,4193,99,99
578,24944,21,21
579,519,167,167
580,26817,34,34
581,5023,25,25
582,6921,72,72
583,4534,112,112
584,16105,27,27
585,3036,94,94
586,508,137,137
587,3100,89,89
588,1552,143,143
589,1302,65,65
590,13419,24,24
591,1070,135,135
592,9300,45,45
593,5199,38,38
594,9132,28,28
595,19259,29,29
596,23960,26,26
597,586,207,207
598,2595,105,105
599,319,168,168
600,16207,31,31
601,13637,28,28
602,653,141,141
603,2733,88,88
604,3290,30,30
605,17278,35,35
606,677,137,137
607,2260,38,38
608,2692,54,54
609,1171,89,89
610,6560,35,35
611,27978,24,24
612,10278,25,25
613,34817,20,20
614,8005,75,75
615,1040,124,124
616,1783,55,55
617,5057,26,26
618,27148,20,20
619,24812,25,25
620,26161,21,21
621,2091,127,127
622,8029,63,63
623,2929,105,105
624,4549,71,71
625,2045,109,109
626,820,65,65
627,11032,44,44
628,9313,33,33
629,5406,97,97
630,5333,90,90
631,21545,34,34
632,16748,29,29
633,1880,48,48
634,4692,66,66
635,4224,60,60
636,23043,26,26
637,2621,40,40
638,15566,26,26
639,10280,27,27
640,3016,159,159
641,1291,98,98
642,1471,137,137
643,446,137,137
644,852,116,116
645,6899,25,25
646,14338,21,21
647,9366,23,23
648,4651,27,27
649,27888,20,20
650,1208,104,104
651,4216,65,65
652,1306,122,122
653,115,126,126
654,624,147,147
655,244,121,121
656,8559,27,27
657,1667,124,124
658,2189,131,131
659,14838,76,76
660,4297,50,50
661,5021,24,24
662,13396,20,20
663,556,147,147
664,186,229,229
665,3356,41,41
666,293,136,136
667,4621,21,21
668,1691,107,107
669,2250,31,31
670,5680,64,64
671,221,77,77
672,484,71,71
673,4272,25,25
674,5041,24,24
675,28825,18,18
676,156,64,64
677,1373,96,96
678,30172,18,18
679,3773,44,44
680,2619,123,123
681,3245,66,66
682,13707,25,25
683,6735,26,26
684,378,229,229
685,2160,90,90
686,1765,139,139
687,11744,35,35
688,27894,19,19
689,771,109,109
690,3400,29,29
691,1439,124,124
692,6833,77,77
693,2935,101,101
694,4075,48,48
695,10960,58,58
696,1323,64,64
697,5068,22,22
698,3128,85,85
699,418,139,139
700,1234,108,108
701,3057,62,62
702,7095,53,53
703,819,65,65
704,16204,28,28
705,287,75,75
706,16710,30,30
707,27721,20,20
708,10825,55,55
709,1517,56,56
710,6202,71,71
711,16461,23,23
712,8987,30,30
713,1297,157,157
714,1236,86,86
715,27149,20,20
716,20654,19,19
717,4697,75,75
718,510,138,138
719,2741,105,105
720,11033,40,40
721,19018,31,31
722,26162,21,21
723,2489,108,108
724,479,160,160
725,730,75,75
726,4757,67,67
727,20634,18,18
728,3028,105,105
729,1063,90,90
730,3108,117,117
731,1481,82,82
732,4477,24,24
733,138,98,98
734,3514,23,23
735,8072,24,24
736,3297,21,21
737,26990,18,18
738,1835,155,155
739,904,123,123
740,2294,95,95
741,9752,23,23
742,573,161,161
743,1228,64,64
744,22024,25,25
745,1034,61,61
746,3117,57,57
747,15275,29,29
748,5320,24,24
749,13665,24,24
750,29882,18,18
751,2056,105,105
752,1127,103,103
753,2856,60,60
754,28901,19,19
755,35734,17,17
756,582,123,123
757,7641,63,63
758,604,105,105
759,7547,54,54
760,207,59,59
761,615,92,92
762,19258,28,28
763,10937,30,30
764,1902,92,92
765,25077,27,27
766,3418,22,22
767,35547,16,16
768,1048,135,135
769,14039,41,41
770,7059,40,40
771,13432,25,25
772,16692,24,24
773,1217,116,116
774,772,106,106
775,2693,42,42
776,6068,59,59
777,7651,52,52
778,5415,28,28
779,18617,18,18
780,10833,84,84
781,1601,81,81
782,1809,52,52
783,5681,67,67
784,1847,43,43
785,3226,40,40
786,828,106,106
787,3310,134,134
788,1657,108,108
789,724,96,96
790,500,74,74
791,3253,28,28
792,2868,28,28
793,5587,27,27
794,8685,24,24
795,22658,18,18
796,688,121,121
797,562,203,203
798,2667,49,49
799,2580,85,85
800,27563,21,21
801,1032,158,158
802,1162,174,174
803,1164,80,80
804,3968,74,74
805,2937,95,95
806,2954,106,106
807,143,138,138
808,1762,53,53
809,2075,84,84
810,664,173,173
811,3376,38,38
812,5733,114,114
813,1215,49,49
814,6320,24,24
815,17181,16,16
816,4687,88,88
817,16867,23,23
818,9130,23,23
819,7193,16,16
820,1697,98,98
821,4288,39,39
822,13093,29,29
823,14594,23,23
824,16318,20,20
825,15513,18,18
826,28933,16,16
827,21117,16,16
828,2631,68,68
829,1597,60,60
830,11494,18,18
831,5270,50,50
832,3417,29,29
833,23288,20,20
834,19197,22,22
835,7515,81,81
836,180,158,158
837,1628,113,113
838,5853,56,56
839,25326,24,24
840,5045,23,23
841,7927,50,50
842,92,69,69
843,3743,133,133
844,2267,105,105
845,264,172,172
846,2576,81,81
847,1558,85,85
848,2648,75,75
849,974,29,29
850,14170,20,20
851,26709,18,18
852,9361,22,22
853,1025,24,24
854,7155,93,93
855,488,171,171
856,712,102,102
857,408,77,77
858,4776,20,20
859,23873,18,18
860,1188,74,74
861,8549,27,27
862,6410,40,40
863,8678,38,38
864,13410,27,27
865,8565,17,17
866,9921,15,15
867,7386,81,81
868,4556,65,65
869,4864,82,82
870,8322,30,30
871,5170,44,44
872,4684,56,56
873,704,73,73
874,14241,53,53
875,6175,24,24
876,20669,17,17
877,354,126,126
878,13415,28,28
879,2096,100,100
880,4459,26,26
881,4767,36,36
882,26142,16,16
883,16443,38,38
884,1472,62,62
885,5276,81,81
886,18719,21,21
887,1743,60,60
888,1572,79,79
889,15179,28,28
890,762,116,116
891,16618,21,21
892,10330,19,19
893,26611,15,15
894,2509,60,60
895,493,101,101
896,3334,66,66
897,1101,119,119
898,599,109,109
899,1159,90,90
900,118,102,102
901,13201,58,58
902,3230,72,72
903,4736,54,54
904,2992,68,68
905,2577,113,113
906,13584,41,41
907,3370,59,59
908,17167,26,26
909,6009,41,41
910,775,23,23
911,1341,146,146
912,1036,150,150
913,340,101,101
914,15395,46,46
915,4160,36,36
916,1179,100,100
917,995,33,33
918,2252,25,25
919,296,47,47
920,29883,18,18
921,28873,17,17
922,1408,70,70
923,1883,80,80
924,5028,18,18
925,36135,13,13
926,4847,68,68
927,7990,29,29
