Ranking,UserID,PageValue,OutDegree,InDegree
1,5320,2.708e-03,171,526
2,6615,2.612e-03,48,626
3,2141,2.383e-03,412,213
4,5086,2.201e-03,138,336
5,4028,2.014e-03,40,477
6,886,1.634e-03,399,68
7,3578,1.422e-03,163,145
8,4817,1.373e-03,104,225
9,5873,1.363e-03,63,308
10,1547,1.351e-03,309,86
11,5784,1.348e-03,63,286
12,5596,1.343e-03,65,285
13,2612,1.341e-03,232,147
14,1473,1.256e-03,104,26
15,855,1.252e-03,324,54
16,6231,1.239e-03,22,237
17,5327,1.237e-03,132,181
18,3268,1.124e-03,143,117
19,1952,1.123e-03,56,21
20,6872,1.122e-03,11,270
21,1083,1.117e-03,92,11
22,3427,1.114e-03,150,162
23,1286,1.093e-03,249,68
24,2894,1.065e-03,69,39
25,322,1.052e-03,222,11
26,3630,1.050e-03,114,114
27,3148,1.045e-03,87,63
28,4855,1.038e-03,87,207
29,2418,1.038e-03,201,104
30,3640,1.023e-03,126,161
31,897,1.021e-03,190,38
32,2354,1.010e-03,157,63
33,1937,9.926e-04,181,69
34,2782,9.911e-04,174,122
35,4634,9.877e-04,68,119
36,4871,9.762e-04,82,147
37,104,9.678e-04,268,3
38,810,9.256e-04,236,38
39,5616,9.117e-04,42,169
40,5681,8.946e-04,64,214
41,5816,8.848e-04,51,220
42,2344,8.627e-04,159,77
43,6046,8.529e-04,41,219
44,4066,8.507e-04,105,140
45,2851,8.414e-04,146,128
46,6458,8.392e-04,13,173
47,3910,8.038e-04,152,86
48,6792,8.003e-04,2,169
49,706,7.988e-04,207,27
50,5650,7.952e-04,42,139
51,4581,7.908e-04,69,120
52,2770,7.843e-04,166,55
53,3923,7.835e-04,110,131
54,6894,7.819e-04,3,202
55,1410,7.786e-04,84,15
56,1046,7.724e-04,197,43
57,95,7.719e-04,232,4
58,1814,7.703e-04,146,49
59,2011,7.693e-04,108,34
60,384,7.688e-04,178,10
61,3583,7.535e-04,91,103
