Ranking,UserID,OutDegree,InDegree
1,5320,171,526
2,6615,48,626
3,2141,412,213
4,4028,40,477
5,5086,138,336
6,886,399,68
7,1547,309,86
8,2612,232,147
9,855,324,54
10,5873,63,308
11,4817,104,225
12,5784,63,286
13,5596,65,285
14,3578,163,145
15,5327,132,181
16,6231,22,237
17,1286,249,68
18,6872,11,270
19,3427,150,162
20,2782,174,122
21,2418,201,104
22,3630,114,113
23,3640,126,161
24,3268,143,117
25,4855,87,207
26,1937,181,69
27,810,236,38
28,5681,64,214
29,322,222,11
30,4871,82,147
31,4634,68,118
32,5616,42,169
33,897,190,38
34,6458,13,173
35,104,268,3
36,5816,51,220
37,5650,42,139
38,3583,91,103
39,2851,146,128
40,6046,41,219
41,6792,2,169
42,3899,80,112
43,4581,69,120
44,3148,87,63
45,390,174,10
46,2354,157,63
47,566,146,11
48,95,232,4
49,6894,3,202
50,6357,102,65
51,2344,159,77
52,3910,152,86
53,6586,15,120
54,1814,146,49
55,1473,104,26
56,706,207,27
57,384,178,10
58,5335,72,83
59,6052,32,195
60,4703,58,101
61,6321,19,138
62,1434,83,31
63,2770,166,55
64,1029,109,18
65,1818,163,10
66,4723,44,102
67,777,138,20
68,4066,105,140
69,3914,77,68
70,5668,46,181
71,4155,77,94
72,2894,69,39
73,3634,160,29
74,1083,92,11
75,5046,47,132
76,806,129,18
77,6781,4,98
78,2536,65,45
79,4959,40,79
80,6157,20,98
81,3923,110,131
82,379,95,4
83,3472,67,81
84,1046,197,43
85,4907,25,73
86,2109,108,52
87,1876,76,21
88,596,214,22
89,3486,54,51
90,2011,108,34
91,2529,90,63
92,1235,89,12
93,1410,84,15
94,3916,34,60
95,5536,31,119
96,4462,51,58
97,543,148,13
98,5217,55,143
99,1938,71,25
100,6967,8,98
101,3763,41,47
102,5868,30,122
103,2850,112,66
104,3437,102,94
105,5567,26,83
106,544,83,6
107,1749,80,33
108,5913,134,6
109,2927,83,68
110,24,92,0
111,4072,31,54
112,4637,50,73
113,2573,141,93
114,2170,55,33
115,4198,6,87
116,1245,94,16
117,1952,56,21
118,2118,64,24
119,3113,70,54
120,5698,18,64
121,6658,11,129
122,5609,18,67
123,562,73,5
124,2300,46,32
125,3018,121,92
126,3196,72,33
127,5928,12,72
128,3095,56,32
129,1261,67,15
130,1134,71,18
131,138,125,3
132,5140,36,59
133,5671,16,77
134,6296,15,69
135,6764,2,197
136,3572,35,36
137,832,117,22
138,4367,45,61
139,3258,55,36
140,5216,130,22
141,2689,41,31
142,1743,67,18
143,2047,48,25
144,3265,42,46
145,3821,54,48
146,1701,147,59
147,682,99,9
148,2272,47,21
149,2937,41,34
150,1529,57,15
151,2337,49,29
152,4137,51,54
153,1527,57,24
154,935,78,19
155,1069,56,17
156,1966,140,54
157,1199,62,12
158,5978,8,78
159,1155,103,27
160,1526,70,21
161,6581,49,56
162,3544,26,49
163,3809,36,42
164,6662,1,72
165,315,71,4
166,4217,47,70
167,5921,17,63
168,2322,67,29
169,3633,58,64
170,6071,157,46
171,4454,26,42
172,3970,23,45
173,6958,2,84
174,14,78,1
175,2768,37,29
176,1200,95,28
177,4594,21,48
178,4270,71,111
179,5778,15,84
180,3904,48,54
181,2683,85,47
182,2351,42,21
183,1237,51,20
184,5766,4,58
185,4180,26,39
186,3718,28,35
187,1548,94,28
188,1203,67,18
189,4239,50,45
190,3758,53,70
191,1957,62,24
192,2513,51,20
193,6189,6,56
194,1144,56,12
195,5493,12,57
196,1299,95,16
197,708,73,6
198,528,76,3
199,4403,41,60
200,3243,31,29
201,2928,36,35
202,5725,37,135
203,6930,1,69
204,3325,60,56
205,2604,95,32
206,1569,58,10
207,3905,28,55
208,1535,83,30
209,2590,0,70
210,5514,25,116
211,2516,45,25
212,5218,15,45
213,1668,45,18
214,6359,10,61
215,4881,13,80
216,6968,0,64
217,340,96,4
218,948,54,11
219,5109,20,57
220,5443,23,32
221,2074,49,12
222,1022,98,11
223,1499,42,9
224,6237,14,164
225,2617,11,53
226,1425,82,20
227,6365,48,32
228,5902,9,62
229,427,51,1
230,2857,83,0
231,4788,35,64
232,3094,48,36
233,3011,35,22
234,3456,27,52
235,3642,24,33
236,2701,43,16
237,644,73,5
238,2983,36,27
239,1325,91,27
240,3269,21,31
241,922,63,5
242,2855,67,29
243,2144,52,22
244,1459,52,14
245,1321,42,9
246,5459,26,95
247,610,59,4
248,225,49,3
249,4781,14,48
250,1080,46,10
251,5372,9,50
252,6598,3,48
253,1879,58,23
254,903,105,18
255,6750,117,43
256,5224,14,49
257,6191,11,55
258,449,99,6
259,1563,64,18
260,5715,18,30
261,2676,37,19
262,5172,15,43
263,2925,33,35
264,3514,49,41
265,505,70,7
266,4172,24,31
267,3153,38,43
268,5183,20,50
269,3099,89,78
270,5272,11,34
271,4318,19,31
272,4317,39,81
273,985,101,22
274,1964,70,18
275,5526,9,58
276,6380,3,51
277,5343,8,46
278,5706,12,39
279,6180,8,70
280,4307,25,51
281,4952,10,41
282,6285,5,55
283,5985,12,38
284,66,107,1
285,6135,13,47
286,5761,12,60
287,4218,24,33
288,4988,17,35
289,4188,20,37
290,1997,88,27
291,3306,44,33
292,776,163,19
293,4702,15,48
294,1015,44,7
295,4810,21,58
296,3623,26,23
297,5187,25,59
298,1129,38,7
299,3021,77,34
300,2339,37,22
301,1493,51,8
302,11,57,1
303,6876,2,37
304,5310,15,56
305,1345,46,8
306,4206,13,45
307,3422,31,18
308,471,159,14
309,4373,27,36
310,459,51,4
311,3142,27,24
312,6206,6,91
313,5989,18,79
314,4392,37,66
315,6966,0,119
316,278,57,2
317,5114,8,29
318,3678,27,48
319,2063,50,15
320,2762,33,30
321,3823,21,35
322,5447,27,61
323,3778,32,22
324,4038,23,30
325,6159,7,52
326,3342,23,18
327,210,76,2
328,1944,60,24
329,63,115,1
330,4653,13,36
331,1848,32,21
332,4262,15,37
333,5019,17,42
334,362,60,1
335,3607,25,25
336,3210,34,23
337,5142,51,96
338,4244,43,52
