Ranking,UserID,PageValue,OutDegree,InDegree
1,1056,6.712e-04,0,65
2,1054,6.626e-04,10,72
3,1536,5.497e-04,9,47
4,171,5.435e-04,10,48
5,453,5.244e-04,10,51
6,407,5.097e-04,9,56
7,263,5.079e-04,10,49
8,4664,5.024e-04,10,12
9,1959,4.892e-04,10,24
10,261,4.858e-04,10,53
11,410,4.850e-04,10,52
12,165,4.841e-04,10,48
13,1198,4.611e-04,9,45
14,127,4.487e-04,10,42
15,4054,4.378e-04,9,18
16,2265,4.323e-04,10,36
17,345,4.311e-04,10,45
18,763,4.305e-04,8,44
19,989,4.209e-04,10,42
20,987,4.183e-04,10,46
21,408,4.152e-04,10,41
22,329,4.112e-04,0,26
23,903,4.078e-04,0,7
24,4,4.055e-04,0,16
25,1551,4.008e-04,10,35
26,699,3.985e-04,10,40
27,481,3.982e-04,0,14
28,1598,3.969e-04,0,26
29,2485,3.951e-04,10,33
30,982,3.932e-04,0,27
31,1055,3.926e-04,0,41
32,2975,3.917e-04,7,26
33,1971,3.883e-04,10,36
34,220,3.845e-04,10,26
35,99,3.827e-04,16,30
36,147,3.804e-04,10,37
37,628,3.735e-04,10,19
38,2177,3.619e-04,0,9
39,5397,3.613e-04,0,3
40,348,3.612e-04,10,34
41,131,3.595e-04,10,34
42,565,3.573e-04,5,31
43,695,3.559e-04,1,33
44,185,3.546e-04,2,21
45,988,3.540e-04,10,37
46,568,3.527e-04,8,31
47,3881,3.507e-04,10,16
48,4159,3.506e-04,0,18
49,812,3.498e-04,0,31
50,4682,3.488e-04,10,10
51,3060,3.435e-04,9,29
52,3076,3.432e-04,1,35
53,1537,3.427e-04,10,37
54,867,3.417e-04,10,37
55,412,3.403e-04,10,36
56,344,3.387e-04,10,31
57,566,3.341e-04,10,33
58,1282,3.330e-04,4,22
59,1503,3.320e-04,10,27
60,1164,3.295e-04,10,38
61,889,3.286e-04,10,32
62,146,3.278e-04,0,15
63,1456,3.269e-04,10,33
64,5315,3.247e-04,8,18
65,2364,3.240e-04,10,28
66,3802,3.236e-04,10,32
67,495,3.229e-04,10,33
68,765,3.213e-04,10,32
69,761,3.200e-04,5,24
70,1922,3.182e-04,0,23
71,1535,3.179e-04,10,32
72,1943,3.160e-04,10,31
73,200,3.159e-04,10,20
74,1534,3.138e-04,10,33
75,592,3.138e-04,10,7
76,205,3.114e-04,0,25
77,2179,3.108e-04,0,13
78,819,3.108e-04,0,27
79,1248,3.103e-04,0,16
80,2096,3.099e-04,10,32
81,3578,3.092e-04,10,16
82,2196,3.082e-04,10,26
83,696,3.063e-04,10,29
84,5673,3.063e-04,9,29
85,470,3.057e-04,0,9
86,794,3.035e-04,10,30
87,167,3.029e-04,10,22
88,260,3.028e-04,9,23
89,560,2.998e-04,0,18
90,945,2.991e-04,10,22
91,1932,2.991e-04,10,11
92,1963,2.975e-04,10,12
93,7008,2.963e-04,10,9
94,1217,2.945e-04,0,21
95,149,2.932e-04,0,25
96,3587,2.899e-04,0,2
97,5728,2.896e-04,9,12
98,1186,2.886e-04,9,21
99,129,2.886e-04,10,25
100,2484,2.879e-04,10,25
101,3322,2.877e-04,0,10
102,1323,2.858e-04,0,20
103,405,2.857e-04,10,24
104,1091,2.855e-04,0,29
105,669,2.849e-04,10,17
106,2152,2.839e-04,0,8
107,2195,2.837e-04,10,28
108,102,2.830e-04,0,11
109,664,2.828e-04,9,12
110,1553,2.815e-04,10,23
111,1143,2.812e-04,10,15
112,1527,2.809e-04,0,19
113,648,2.802e-04,5,24
114,1255,2.801e-04,10,26
115,2197,2.796e-04,10,25
116,323,2.795e-04,0,10
117,624,2.795e-04,0,11
118,1356,2.785e-04,12,14
119,1116,2.777e-04,10,22
120,742,2.777e-04,0,21
121,2223,2.767e-04,0,9
122,118,2.756e-04,10,14
123,1529,2.750e-04,10,27
124,984,2.743e-04,10,25
125,326,2.737e-04,0,12
126,437,2.719e-04,0,14
127,562,2.701e-04,10,7
128,598,2.674e-04,0,7
129,1506,2.667e-04,1,27
130,2927,2.664e-04,15,15
131,155,2.656e-04,0,6
132,4870,2.647e-04,10,18
133,77,2.646e-04,10,3
134,296,2.642e-04,0,25
135,1058,2.632e-04,9,26
136,4673,2.630e-04,18,20
137,121,2.626e-04,10,12
138,161,2.621e-04,0,22
139,148,2.616e-04,10,18
140,330,2.609e-04,0,21
141,2396,2.607e-04,0,23
142,1050,2.599e-04,10,18
143,133,2.594e-04,10,25
144,1365,2.594e-04,0,17
145,638,2.591e-04,10,14
146,346,2.589e-04,9,21
147,2283,2.589e-04,11,12
148,2864,2.586e-04,0,10
149,2018,2.585e-04,6,19
150,693,2.568e-04,9,23
151,2799,2.567e-04,0,12
152,4094,2.564e-04,10,20
153,1579,2.555e-04,10,21
154,168,2.553e-04,10,27
155,5826,2.547e-04,0,2
156,397,2.547e-04,9,17
157,834,2.547e-04,0,17
158,6769,2.543e-04,0,6
159,2888,2.532e-04,0,14
160,4374,2.524e-04,0,14
161,735,2.519e-04,0,13
162,4142,2.516e-04,6,12
163,630,2.513e-04,10,15
164,970,2.509e-04,0,18
165,4790,2.504e-04,1,5
166,1699,2.497e-04,0,20
167,3408,2.496e-04,0,6
168,1711,2.491e-04,10,11
169,646,2.490e-04,0,6
170,1934,2.488e-04,3,16
171,1176,2.488e-04,2,24
172,1501,2.487e-04,0,14
173,640,2.463e-04,0,17
174,2866,2.458e-04,0,18
175,2272,2.454e-04,0,11
176,343,2.451e-04,9,19
177,1657,2.449e-04,9,17
178,1962,2.442e-04,0,25
179,1855,2.428e-04,0,11
180,698,2.425e-04,10,23
181,6804,2.422e-04,0,6
182,781,2.419e-04,11,20
183,1717,2.418e-04,10,17
184,934,2.417e-04,9,7
185,3941,2.415e-04,9,10
186,347,2.414e-04,10,21
187,130,2.408e-04,10,21
188,824,2.404e-04,0,19
189,443,2.399e-04,0,22
190,1398,2.398e-04,0,17
191,961,2.397e-04,10,21
192,92,2.394e-04,10,17
193,4737,2.393e-04,0,4
194,7431,2.388e-04,0,2
195,2320,2.386e-04,0,21
196,505,2.383e-04,0,19
197,1141,2.382e-04,10,11
198,3181,2.380e-04,10,15
199,2730,2.378e-04,0,9
200,986,2.366e-04,0,18
201,1408,2.364e-04,0,19
202,1918,2.364e-04,0,9
203,3399,2.363e-04,9,10
204,2873,2.352e-04,0,15
