Ranking,UserID,OutDegree,InDegree
1,3109,100,3
2,9134,65,1
3,1655,59,5
4,5617,57,4
5,2416,48,3
6,6101,45,4
7,5598,39,3
8,4496,35,6
9,4097,36,7
10,3556,34,8
11,8308,33,1
12,3761,31,8
13,314,27,8
14,4057,28,10
15,3427,28,4
16,10043,26,1
17,1315,22,4
18,1252,21,9
19,7428,20,2
20,6139,20,1
21,97,19,6
22,1890,19,14
23,6426,20,5
24,9720,19,4
25,10231,18,2
26,5519,18,1
27,1354,19,6
28,8458,17,10
29,4673,18,20
30,99,16,30
31,2927,15,15
32,9774,14,4
33,7595,13,4
34,4780,13,3
35,4657,13,2
36,3368,12,3
37,3215,13,2
38,5686,12,7
39,3643,12,11
40,10404,11,1
41,1356,12,14
42,3772,13,11
43,2661,12,11
44,2283,11,12
45,4611,11,9
46,781,11,20
47,5622,13,3
48,19,10,4
49,20,10,4
50,46,10,9
51,756,10,16
52,7040,10,2
53,73,10,5
54,76,10,5
55,77,10,3
56,89,10,10
57,121,10,12
58,123,10,3
59,124,10,10
60,133,10,25
61,147,10,37
62,153,10,1
63,166,10,2
64,180,10,10
65,189,10,8
66,239,10,12
67,750,10,8
68,408,10,41
69,252,10,12
70,275,10,13
71,280,10,4
72,345,10,45
73,410,10,52
74,428,10,4
75,458,10,2
76,4232,10,2
77,5062,10,2
78,721,10,5
79,661,10,6
80,673,10,2
81,3578,10,16
82,699,10,40
83,674,10,8
84,4870,10,18
85,753,10,12
86,748,10,1
87,790,10,6
88,847,10,4
89,2071,10,3
90,956,10,3
91,5152,10,8
92,1054,10,72
93,1101,10,7
94,1143,10,15
95,1151,10,15
96,1300,10,3
97,1349,10,2
98,1370,10,1
99,1374,10,2
100,1382,10,11
101,1487,10,9
102,1488,10,1
103,1591,10,1
104,1658,10,6
105,1688,10,2
106,1745,10,3
107,1750,10,6
108,1826,10,7
109,1884,10,13
110,1963,10,12
111,1959,10,24
112,2019,10,1
113,2023,10,1
114,2034,10,9
115,2082,10,3
116,2083,10,2
117,2203,10,2
118,2218,10,1
119,2277,10,1
120,6453,10,8
121,2293,10,2
122,2370,10,2
123,2490,10,2
124,2680,10,5
125,2770,10,5
126,2855,10,4
127,5288,10,6
128,2976,10,10
129,4546,10,7
130,3355,10,10
131,3360,10,2
132,6885,10,2
133,3379,10,3
134,3402,10,2
135,3421,10,5
136,3485,10,4
137,3604,10,3
138,3606,10,3
139,3612,10,1
140,3636,10,1
141,3798,10,11
142,3857,10,3
143,10156,10,2
144,4020,10,5
145,4066,10,3
146,4268,10,4
147,4313,10,5
148,4439,10,1
149,4471,10,2
150,4479,10,2
151,6723,10,2
152,4695,10,3
153,4807,10,4
154,5209,10,6
155,5314,10,1
156,5444,10,1
157,5502,10,2
158,9299,10,1
159,5694,10,7
160,9867,10,4
161,6297,10,1
162,6304,10,3
163,6326,10,5
164,6469,10,5
165,6590,10,1
166,6691,10,5
167,6826,10,1
168,6841,10,8
169,10066,10,2
170,10710,10,1
171,9946,10,2
172,7071,10,5
173,7439,10,7
174,7453,10,8
175,10429,10,1
176,7587,10,2
177,7599,10,1
178,7597,10,4
179,7620,10,2
180,7685,10,2
181,7727,10,2
182,8061,10,1
183,7995,10,1
184,8647,10,2
185,8719,10,1
186,9149,10,1
187,9314,10,2
188,9619,10,1
189,9634,10,3
190,9700,10,1
191,9701,10,2
192,9834,10,1
193,9905,10,1
194,9936,10,1
195,9959,10,1
196,10070,10,1
197,10397,10,1
198,10480,10,1
199,10507,10,2
200,10556,10,1
