Ranking,UserID,OutDegree,InDegree
1,5657,8,8
2,5727,8,8
3,6356,8,8
4,6701,7,7
5,6001,7,7
6,6460,7,7
7,8403,7,7
8,12913,7,7
9,13495,7,7
10,15296,7,7
11,6738,6,6
12,457,6,6
13,5313,6,6
14,585,6,6
15,21598,6,6
16,946,6,6
17,1358,6,6
18,1252,6,6
19,19504,6,6
20,19282,6,6
21,1410,6,6
22,1538,6,6
23,1972,6,6
24,1905,6,6
25,6729,6,6
26,2508,6,6
27,10984,6,6
28,4208,6,6
29,117563,6,3
30,3630,6,6
31,3796,6,6
32,6040,6,6
33,4089,6,6
34,4741,6,6
35,5049,6,6
36,5250,6,6
37,5259,6,6
38,5476,6,6
39,5495,6,6
40,5587,6,6
41,8123,6,6
42,6029,6,6
43,5869,6,6
44,5979,6,6
45,6093,6,6
46,6394,6,6
47,6452,6,6
48,6484,6,6
49,6617,6,6
50,9150,6,6
51,6816,6,6
52,6838,6,6
53,15013,6,6
54,9501,6,6
55,33646,6,3
56,7478,6,6
57,7622,6,6
58,8069,6,6
59,8197,6,6
60,9295,6,6
61,9341,6,6
62,10327,6,6
63,10024,6,6
64,10278,6,6
65,10305,6,6
66,10399,6,6
67,12953,6,6
68,12927,6,6
69,13456,6,6
70,14129,6,6
71,14417,6,6
72,14286,6,6
73,29456,6,3
74,16897,6,6
75,18366,6,6
76,20092,6,6
77,20563,6,6
78,21596,6,6
79,20776,6,6
80,24353,6,6
81,25329,6,6
82,25078,6,6
83,25141,6,6
84,25740,6,6
85,26414,6,6
86,32300,6,1
87,8487,6,6
88,13112,6,6
89,14415,6,6
90,15177,6,6
91,24836,6,6
92,5580,6,6
93,6391,6,6
94,1153,5,5
95,27335,5,5
96,1068,5,5
97,136,5,5
98,6713,5,5
99,125,5,5
100,222,5,5
101,239,5,5
102,325,5,5
103,3369,5,5
104,346,5,5
105,1176,5,5
106,7154,5,5
107,501,5,5
108,516,5,5
109,8153,5,5
110,5367,5,5
111,4487,5,5
112,3484,5,5
113,768,5,5
114,2082,5,5
115,10017,5,5
116,745,5,5
117,10607,5,5
118,723,5,5
119,727,5,5
120,988,5,5
121,21744,5,5
122,1022,5,5
123,1416,5,5
124,1444,5,5
125,1546,5,5
126,1558,5,5
127,1822,5,5
128,1850,5,5
129,13066,5,5
130,1917,5,5
131,11181,5,5
132,2053,5,5
133,2982,5,5
134,25098,5,5
135,2109,5,5
136,2619,5,5
137,2289,5,5
138,2414,5,5
139,2530,5,5
140,2941,5,5
141,5622,5,5
142,2887,5,5
143,3003,5,5
144,24802,5,5
145,5912,5,5
146,5774,5,5
147,3512,5,5
148,3562,5,5
149,3666,5,5
150,11901,5,5
151,3716,5,5
152,3961,5,5
153,3912,5,5
154,4112,5,5
155,4025,5,5
156,4203,5,5
157,4343,5,5
158,23525,5,5
159,4530,5,5
160,5379,5,5
161,5082,5,5
162,5177,5,5
163,5191,5,5
164,5268,5,5
165,5301,5,5
