Ranking,UserID,PageValue,OutDegree,InDegree
1,115485051,4.331e-03,1,4798
2,116485573,4.133e-03,1,4
3,813286,2.339e-03,1382,3172
4,40981798,1.372e-03,1676,8660
5,7861312,1.254e-03,917,3712
6,11348282,1.222e-03,1463,3850
7,17093617,1.076e-03,824,1405
8,15439395,1.031e-03,548,1395
9,18396070,1.029e-03,140,400
10,14230524,1.014e-03,92,1472
11,15485441,9.726e-04,636,1254
12,90420314,9.585e-04,265,2241
13,1183041,9.329e-04,744,2593
14,16303106,9.255e-04,0,2031
15,972651,9.201e-04,616,1591
16,62581962,9.166e-04,2,1402
17,43003845,9.061e-04,1668,7700
18,14824849,8.875e-04,124,1188
19,428333,8.394e-04,148,1439
20,30364057,8.234e-04,254,985
21,657863,8.193e-04,518,1314
22,783214,8.177e-04,164,1550
23,14075928,8.135e-04,0,1559
24,15846407,8.133e-04,1069,887
25,79797834,8.041e-04,645,1742
26,31353077,7.781e-04,618,2209
27,63485337,7.457e-04,331,2095
28,22462180,7.410e-04,701,7623
29,15913,7.287e-04,99,4337
30,30313925,6.937e-04,628,1775
31,10350,6.703e-04,1107,2073
32,34428380,6.680e-04,693,7558
33,139162440,6.616e-04,587,1149
34,17919972,6.610e-04,100,1007
35,50393960,6.602e-04,74,1174
36,3359851,6.522e-04,3373,3986
37,25521487,6.393e-04,103,1247
38,21447363,6.384e-04,84,972
39,18713254,6.360e-04,535,1270
40,18393773,6.120e-04,347,1099
41,10671602,5.917e-04,1210,2874
42,19637934,5.906e-04,310,967
43,12925072,5.886e-04,93,1062
44,22027186,5.886e-04,0,1049
45,816653,5.707e-04,202,1061
46,18927441,5.421e-04,601,2680
47,807095,5.295e-04,189,864
48,259379883,5.277e-04,63,859
49,48485771,5.227e-04,914,2725
50,15666380,5.160e-04,426,1009
51,24585498,5.048e-04,611,1437
52,759251,5.038e-04,309,793
53,19725644,4.987e-04,213,1426
54,22461427,4.948e-04,387,1008
55,21111883,4.902e-04,147,992
56,18948541,4.875e-04,128,699
57,3829151,4.817e-04,1053,1349
58,1344951,4.500e-04,281,988
59,14348594,4.469e-04,572,986
60,15234657,4.449e-04,725,1752
61,19058681,4.402e-04,168,471
62,20536157,4.371e-04,219,780
63,6480682,4.344e-04,232,670
64,19397785,4.293e-04,34,455
65,10810102,4.249e-04,43,636
66,20,4.232e-04,484,757
67,14506253,4.231e-04,370,678
68,10228272,4.035e-04,217,995
69,6017542,4.008e-04,82,573
70,9451052,3.967e-04,592,1218
