Ranking,UserID,OutDegree,InDegree
1,5442012,272,229
2,3359851,287,240
3,18581803,203,78
4,15102849,202,83
5,73975665,154,17
6,41147062,212,110
7,59804598,163,164
8,16098603,170,189
9,188046098,152,28
10,16038438,136,111
11,13176312,198,128
12,152137231,150,17
13,279787626,120,37
14,20273398,161,100
15,21436960,161,181
16,153226312,118,80
17,7860742,154,161
18,15162193,108,47
19,19526770,108,52
20,18142375,108,69
21,24190981,106,97
22,463952369,108,35
23,47968639,93,30
24,18776017,131,95
25,15165493,165,137
26,100581193,108,46
27,19195914,94,37
28,88323281,120,113
29,48485771,139,367
30,121537720,91,64
31,15849055,87,68
32,78941245,85,41
33,300418156,124,10
34,143125196,94,6
35,134940306,106,61
36,17759701,118,64
37,20471349,88,78
38,30913636,91,68
39,90057908,92,47
40,7429892,111,86
41,15934926,94,90
42,28037700,92,65
43,45509346,104,52
44,358775055,108,49
45,276905731,86,37
46,25376226,89,31
47,15520280,93,88
48,15584619,75,41
49,24233316,79,43
50,19766517,103,44
51,189898898,78,75
52,17062358,81,60
53,19148708,92,74
54,17567533,78,51
55,1268821,86,48
56,461410856,100,74
57,13434622,76,81
58,362626342,84,40
59,26299078,84,49
60,52758395,153,135
61,49997792,77,42
62,73129083,89,12
63,316994994,78,17
64,23027237,83,105
65,1211311,65,40
66,31808762,79,23
67,94414805,78,46
68,289365039,80,37
69,60620992,117,20
70,15154217,83,98
71,309325161,76,78
72,18569484,73,43
73,13382652,62,18
74,307458983,108,91
75,15172810,75,56
76,19923638,89,128
77,35415477,81,40
78,991221,63,68
79,21749574,60,3
80,198876913,90,71
81,88097807,96,57
82,146729999,80,24
83,15048204,66,39
84,18393773,62,90
85,285185271,73,43
86,7081402,69,66
87,17409832,69,39
88,15712979,81,78
89,16186743,74,51
90,74265849,70,65
91,15519544,146,146
92,394263193,96,46
93,60608455,76,16
94,30678185,65,32
95,17771860,87,67
96,195897346,67,18
97,139162440,72,101
98,20637608,69,37
99,17681513,57,56
100,86070159,101,56
101,53047484,58,40
102,36754931,76,38
103,15693493,61,53
104,19149421,69,14
105,14416109,76,68
106,258140947,104,67
107,18666844,93,91
108,28184452,145,114
109,67818595,88,46
110,9389812,58,8
111,8407062,55,27
112,222640532,86,42
113,1065921,71,49
114,15858135,61,34
115,56814021,83,57
116,25970331,51,58
117,21681252,76,62
118,221829166,65,23
119,13490452,79,45
120,28824426,71,26
121,306803641,71,32
122,15068719,63,53
123,28297965,57,23
124,11178672,67,38
125,59877557,63,17
126,23235056,62,17
127,259842341,111,101
128,678953,54,48
129,50284910,70,27
130,17093617,58,106
131,7458942,74,65
132,17564647,73,47
133,19592306,51,21
134,127973392,70,56
135,188108667,61,34
136,15489348,64,38
137,12611642,61,65
138,16009851,74,33
139,381904167,58,14
140,15782318,53,19
141,299715714,61,11
142,108669535,77,10
143,20235246,56,6
144,388818684,70,11
145,117541123,74,25
146,134234059,74,29
147,17378488,50,14
148,35407584,60,69
149,14208611,58,54
150,307642294,68,61
151,31414569,66,23
152,1117341,52,40
153,36629388,65,80
154,20065440,68,59
155,1194401,49,42
156,15857157,73,70
157,14217740,83,53
158,62292058,51,22
159,127569781,63,21
160,67613844,55,14
161,15933910,83,118
162,33538829,69,31
163,288485704,94,34
164,45416789,81,58
165,222353841,69,17
166,148714212,62,21
167,39582797,62,16
168,16028750,74,75
169,31067157,64,22
170,34771668,77,80
171,40623024,49,20
172,19653925,69,26
173,6149912,50,17
174,28471924,66,65
175,157829215,110,94
176,20661527,58,51
