Ranking,UserID,OutDegree,InDegree
1,2818,101,3
2,1575,71,1
3,1849,65,1
4,931,60,1
5,1906,58,1
6,2372,57,1
7,812,57,1
8,1631,56,1
9,1347,55,1
10,1452,55,1
11,510,54,1
12,1038,54,1
13,2731,54,1
14,985,53,1
15,1240,53,1
16,1504,53,1
17,1785,52,1
18,2111,52,1
19,2475,52,1
20,602,52,1
21,686,52,1
22,863,52,1
23,1089,52,1
24,1188,52,1
25,1398,52,1
26,1682,52,1
27,1733,52,1
28,1957,52,1
29,2008,51,1
30,2059,52,1
31,2162,52,1
32,2213,51,1
33,2264,51,1
34,2315,52,1
35,2423,51,1
36,2576,51,1
37,2627,51,1
38,2678,52,1
39,1292,51,1
40,2525,51,1
41,1137,47,1
42,550,36,1
43,3014,34,9
44,635,34,1
45,2900,30,0
46,745,28,1
47,342,31,53
48,712,26,1
49,2764,23,17
50,55,20,0
51,2899,29,1
52,317,16,0
53,454,16,1
54,438,15,1
55,2884,14,0
56,412,23,31
57,3017,17,3
58,305,12,0
59,54,19,1
60,755,11,1
61,2925,9,0
62,320,9,0
63,2846,21,44
64,400,8,0
65,316,15,1
66,2883,13,1
67,2822,20,9
68,2801,7,14
69,2921,8,4
70,2834,6,6
71,11,9,1
72,410,4,3
73,2996,4,0
74,3026,13,1
75,67,8,1
76,399,7,1
77,16,5,29
78,389,13,9
79,422,4,1
80,418,3,0
81,2944,3,0
82,2898,28,2
83,390,14,9
84,2735,3,5
85,294,7,66
86,291,4,14
87,346,3,0
88,2901,3,0
89,2902,3,0
90,3012,2,0
91,3016,10,3
92,411,4,0
93,2963,6,8
94,2995,3,1
95,421,4,1
96,416,3,2
97,2859,13,18
98,2891,5,1
99,2943,2,0
100,2874,6,10
101,395,6,5
102,53,18,2
103,2942,2,2
104,2991,2,3
105,290,2,14
106,293,4,12
107,295,6,24
108,309,7,9
109,314,8,9
110,2820,14,2
111,303,1,1
112,304,1,1
113,307,1,1
114,308,2,2
115,311,2,0
116,312,3,0
117,315,2,1
118,318,2,2
119,322,1,1
120,323,2,0
121,324,1,1
122,327,1,1
123,328,1,1
124,329,1,1
125,330,1,1
126,331,1,2
127,333,1,1
128,334,1,1
129,335,1,1
130,336,1,1
131,337,1,1
132,338,1,1
133,339,1,1
134,340,1,1
135,341,1,1
136,343,2,0
137,344,2,0
138,347,2,0
139,348,2,0
140,349,2,0
141,350,2,0
142,351,2,0
143,352,2,0
144,353,2,0
145,354,2,0
146,355,2,0
147,356,2,0
148,357,2,0
149,358,2,0
150,359,2,0
151,360,2,1
152,361,2,0
153,362,2,0
154,363,2,0
155,364,2,0
156,365,3,0
157,366,2,0
158,367,2,0
159,368,2,0
160,369,2,0
161,370,2,0
162,371,2,0
163,372,2,0
